playlist_id,playlist_name,track_id,track_name,artist_ids,artist_names,preview_url,duration_ms,popularity
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5RsUlxLto4NZbhJpqJbHfN,Jessie's Girl,['6IFXsrXBpwbIqtOUOiAa3p'],['Rick Springfield'],,194120,73
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,['4KWTAlx2RvbpseOGMEmROg'],['R.E.M.'],,268426,86
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,['3IYUhFvPQItj6xySrBmZkd'],['Creedence Clearwater Revival'],,140773,83
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",['3PhoLpVuITZKcymswpck5b'],['Elton John'],,281613,83
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,1kdiiFGX1Htx0aVZYaDwEJ,Tears Don't Fall,['7iWiAD5LLKyiox2grgfmUT'],['Bullet For My Valentine'],,348386,67
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,6zKF4293k44ItKWJJgrhXv,My Curse,['37394IP6uhnjIpsawpMu4l'],['Killswitch Engage'],,244773,72
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2IZZqH4K02UIYg5EohpNHF,Zombie,['7t0rwkOPGlDPEhaOcVtOt9'],['The Cranberries'],,306426,6
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,['7b85ve82Sh36a3UAx74wut'],['Twisted Sister'],,219666,10
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,7pkWZL0kA26s754CwyK0SH,Once Bitten Twice Shy,['6ZPbX2Lxd40e2UVkXpyxvI'],['Great White'],,322896,2
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,4KfSdst7rW39C0sfhArdrz,Barracuda,['34jw2BbxjoYalTp8cJFCPv'],['Heart'],,261495,74
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,4f3RDq9nYPBeR1yMSgnmBm,You've Got Another Thing Coming,['2tRsMl4eGxwoNabM08Dm4I'],['Judas Priest'],,310080,66
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5MxNLUsfh7uzROypsoO5qe,Dream On,['7Ey4PD4MYsKc5I2dolUwbH'],['Aerosmith'],,266960,8
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2ZBalNGwjqdKJd29O76wBV,Heat Of The Moment,['1bdytLV3FPjyhfrb6BhMej'],['Asia'],,227626,0
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,['4MVyzYMgTwdP7Z49wAZHx0'],['Lynyrd Skynyrd'],,283800,81
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,['485uL27bPomh29R4JmQehQ'],['Bob Seger'],,194146,75
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,7b4yGtR0rujvLi5EBfKKJ2,Take Me Home Tonight,['4Tw2N3wdvJPGEU7JqMxFfE'],['Eddie Money'],,211160,72
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,['26bcq2nyj5GB7uRr558iQg'],['Survivor'],,243773,78
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,60a0Rd6pjrkxjPbaKzXjfq,In the End,['6XyY86QOPPrYVGvF9ch6wz'],['Linkin Park'],,216880,90
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,['0C0XlULifJtAgn6ZNCW2eu'],['The Killers'],,222586,9
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,7yCPwWs66K8Ba5lFuU2bcx,All The Small Things,['6FBDaR13swtiWwGhX1WQsP'],['blink-182'],,168000,7
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,4TIJ7zSBNejpoIPaWpWRKc,Rebel Yell,['7lzordPuZEXxwt9aoVZYmG'],['Billy Idol'],,288533,78
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,54X78diSLoUDI3joC2bjMz,Purple Rain,['5a2EaR3hamoenG9rDuVn8j'],['Prince'],,520786,6
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,['6IRouO5mvvfcyxtPDKMYFN'],['Foreigner'],,304786,85
