id,preview_url,class,scan,style,role,tabindex,onkeydown,onclick,title,name,color,top_px,left_px,font_size_pct
item16,https://p.scdn.co/mp3-preview/03da0b85c9fa2fb5e621e97d4fb145a17aaf7ef1,genre scanme,true,color: #ab791f; top: 8984px; left: 488px; font-size: 124%,button,0,kb(event);,"playx(""7wCmS9TTVUcIhRalDYFgPy"", ""permanent wave"", this);","e.g. Pixies ""Where Is My Mind? - Remastered""",permanent wave,#ab791f,8984.0,488.0,124.0
item17,https://p.scdn.co/mp3-preview/1e15f2d4ac12c4f851604da51d13eccc5db47cef,genre scanme,true,color: #a38f02; top: 5478px; left: 1064px; font-size: 124%,button,0,kb(event);,"playx(""4T0ScSPdQKmGvruK7pavNP"", ""trap"", this);","e.g. Rich Homie Quan ""Flex (Ooh, Ooh, Ooh)""",trap,#a38f02,5478.0,1064.0,124.0
item18,https://p.scdn.co/mp3-preview/5efe16cd96fbb2c320332c1ba8f120909db22d21,genre scanme,true,color: #d65c23; top: 6864px; left: 306px; font-size: 124%,button,0,kb(event);,"playx(""7CpbhqKUedOIrcvc94p60Y"", ""alternative metal"", this);","e.g. Drowning Pool ""Bodies""",alternative metal,#d65c23,6864.0,306.0,124.0
item19,https://p.scdn.co/mp3-preview/33e5ec94a2f425d6b83a045a760be6bc90bba335,genre scanme,true,color: #ba8414; top: 5326px; left: 777px; font-size: 123%,button,0,kb(event);,"playx(""6BKOhvRPY54uvfqWwg7MKi"", ""k-pop"", this);","e.g. EXID ""Up & Down""",k-pop,#ba8414,5326.0,777.0,123.0
item20,https://p.scdn.co/mp3-preview/6527596393b3ea9d71d6e58b9f08c67fe69eac9e,genre scanme,true,color: #998b05; top: 6238px; left: 919px; font-size: 123%,button,0,kb(event);,"playx(""0wdaPticLmmqJdhgLDJ9zI"", ""r&b"", this);","e.g. Xscape ""Who Can I Run To""",r&b,#998b05,6238.0,919.0,123.0
item21,https://p.scdn.co/mp3-preview/cdb979187e3efd6a89c8cd8d3688f5818d8adb48,genre scanme,true,color: #a28b01; top: 13324px; left: 1062px; font-size: 122%,button,0,kb(event);,"playx(""0zhymr6RqNuvp0RMIvdpdA"", ""corrido"", this);","e.g. CÃ³digo FN ""Mood Malandro""",corrido,#a28b01,13324.0,1062.0,122.0
item22,https://p.scdn.co/mp3-preview/be044054206fc8cfabbcf3689f5cbbba32aabf76,genre scanme,true,color: #988a05; top: 9390px; left: 646px; font-size: 122%,button,0,kb(event);,"playx(""1O7h8bA4FHqZEi2y9xCDtK"", ""canadian pop"", this);","e.g. Shawn Desman ""Electric""",canadian pop,#988a05,9390.0,646.0,122.0
item23,https://p.scdn.co/mp3-preview/5de4dbcb2385cecb5cb6f73d8f85438f956ff897,genre scanme,true,color: #988e03; top: 12859px; left: 1021px; font-size: 122%,button,0,kb(event);,"playx(""1PKoT3dROitNnZQch89TgT"", ""norteno"", this);","e.g. Los Huracanes del Norte ""El Gato De Chihuahua""",norteno,#988e03,12859.0,1021.0,122.0
item24,https://p.scdn.co/mp3-preview/3c714f7761f69f05e01a9ef084e6f31d2f4a643d,genre scanme,true,color: #9f8d01; top: 13402px; left: 1032px; font-size: 121%,button,0,kb(event);,"playx(""2qWX4mvuOfCvGgHAV1sWQO"", ""sierreno"", this);","e.g. Hijos De Barron ""Y Si Se Quiere Ir""",sierreno,#9f8d01,13402.0,1032.0,121.0
item25,https://p.scdn.co/mp3-preview/4e8704349932ecb754e3c03cdf3b1563309627a0,genre scanme,true,color: #ae7119; top: 10880px; left: 490px; font-size: 121%,button,0,kb(event);,"playx(""1QEEqeFIZktqIpPI4jSVSF"", ""album rock"", this);","e.g. Boston ""More Than a Feeling""",album rock,#ae7119,10880.0,490.0,121.0
item26,https://p.scdn.co/mp3-preview/0408c4e5f1d51b6b605429205342fde6930d96ea,genre scanme,true,color: #97800f; top: 10613px; left: 630px; font-size: 121%,button,0,kb(event);,"playx(""4O4Z8VFczL8MxIOmqVWc1b"", ""soft rock"", this);","e.g. Kenny Loggins ""Footloose""",soft rock,#97800f,10613.0,630.0,121.0
item27,https://p.scdn.co/mp3-preview/1164c378d1a70ec8cfa42a28dc108503e8f62768,genre scanme,true,color: #ca8136; top: 2608px; left: 779px; font-size: 121%,button,0,kb(event);,"playx(""1bgKMxPQU7JIZEhNsM1vFs"", ""pop dance"", this);","e.g. Alesso ""Words (feat. Zara Larsson)""",pop dance,#ca8136,2608.0,779.0,121.0
item28,https://p.scdn.co/mp3-preview/6b696210aaae9dd245c0a6c0adc6e9dd8afee523,genre scanme,true,color: #9a9101; top: 13185px; left: 1005px; font-size: 121%,button,0,kb(event);,"playx(""4zneNpRMfRSdhsFTZbYZLN"", ""sad sierreno"", this);","e.g. Nivel ""AdueÃ±arme""",sad sierreno,#9a9101,13185.0,1005.0,121.0
item29,https://p.scdn.co/mp3-preview/89dff34e3b51bd0aaa6c3910debda6476fe66e4a,genre scanme,true,color: #ca803d; top: 2647px; left: 767px; font-size: 121%,button,0,kb(event);,"playx(""5jyUBKpmaH670zrXrE0wmO"", ""edm"", this);","e.g. Sebastian Ingrosso ""Reload - Radio Edit""",edm,#ca803d,2647.0,767.0,121.0
item30,https://p.scdn.co/mp3-preview/ad97ce828e504498e211b6525c5ccee86642786b,genre scanme,true,color: #c26220; top: 10110px; left: 368px; font-size: 120%,button,0,kb(event);,"playx(""5QTxFnGygVM4jFQiBovmRo"", ""hard rock"", this);","e.g. Blue Ãyster Cult ""(Don't Fear) The Reaper""",hard rock,#c26220,10110.0,368.0,120.0
item31,https://p.scdn.co/mp3-preview/3587df4ee9fd89943486a6b3ee7d0bb7c19bfb35,genre scanme,true,color: #a58801; top: 6852px; left: 554px; font-size: 120%,button,0,kb(event);,"playx(""6uyiyatWPCqC59Mm4rO8xL"", ""contemporary country"", this);","e.g. Lee Brice ""One Of Them Girls""",contemporary country,#a58801,6852.0,554.0,120.0
item32,https://p.scdn.co/mp3-preview/64de489763e2f6f83f1ea86152f322656fc494b6,genre scanme,true,color: #8e820e; top: 12672px; left: 621px; font-size: 119%,button,0,kb(event);,"playx(""2DnJjbjNTV9Nd5NOa1KGba"", ""mellow gold"", this);","e.g. Carly Simon ""You're So Vain""",mellow gold,#8e820e,12672.0,621.0,119.0
item33,https://p.scdn.co/mp3-preview/28f56f19466d4fd09f4e791e0f40bd694c5c6cf9,genre scanme,true,color: #989104; top: 8311px; left: 760px; font-size: 119%,button,0,kb(event);,"playx(""7KQejvX8GC4qMjB8vWSp2p"", ""uk pop"", this);","e.g. Griff ""Vertigo""",uk pop,#989104,8311.0,760.0,119.0
item34,https://p.scdn.co/mp3-preview/5375749526c97f47a4dd645ca575a107c3423c13,genre scanme,true,color: #979c02; top: 4726px; left: 1060px; font-size: 119%,button,0,kb(event);,"playx(""1ZAyjvIk9YiD76yYy0TEG6"", ""melodic rap"", this);","e.g. Rich The Kid ""Plug Walk""",melodic rap,#979c02,4726.0,1060.0,119.0
item35,https://p.scdn.co/mp3-preview/330e51578b83cabf38fdffb11d7308bc86bad29a,genre scanme,true,color: #a68308; top: 8901px; left: 783px; font-size: 119%,button,0,kb(event);,"playx(""6mTvwBzWTGDOVeCNQEqtOE"", ""modern bollywood"", this);","e.g. Amaal Mallik ""Soch Na Sake""",modern bollywood,#a68308,8901.0,783.0,119.0
item36,https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a,genre scanme,true,color: #b86d33; top: 9647px; left: 416px; font-size: 118%,button,0,kb(event);,"playx(""3dPQuX8Gs42Y7b454ybpMR"", ""alternative rock"", this);","e.g. The White Stripes ""Seven Nation Army""",alternative rock,#b86d33,9647.0,416.0,118.0
item37,https://p.scdn.co/mp3-preview/a9da152ba095773913e1826bfd19c78609b43496,genre scanme,true,color: #998e06; top: 11092px; left: 994px; font-size: 118%,button,0,kb(event);,"playx(""5R9lPFnoJGppR1MsI7vHxy"", ""banda"", this);","e.g. Banda Clave Nueva ""CuÃ¡l AdiÃ³s""",banda,#998e06,11092.0,994.0,118.0
item38,https://p.scdn.co/mp3-preview/6056f92c7dcd49c7abfa4fd5454772861b2e17ba,genre scanme,true,color: #cc6c0f; top: 5075px; left: 372px; font-size: 118%,button,0,kb(event);,"playx(""4eAwB5pnKFTmsgc3zWoYO0"", ""post-grunge"", this);","e.g. Seether ""Fake It""",post-grunge,#cc6c0f,5075.0,372.0,118.0
item39,https://p.scdn.co/mp3-preview/737e02df2101ae364cdc908c68f50bc56ebdd633,genre scanme,true,color: #a28f01; top: 13363px; left: 1009px; font-size: 118%,button,0,kb(event);,"playx(""5BGVjoFtSSYov2pMpmo1La"", ""corridos tumbados"", this);","e.g. Esteban Gabriel ""Piel de Seda""",corridos tumbados,#a28f01,13363.0,1009.0,118.0
item40,https://p.scdn.co/mp3-preview/f9a68036db8f21cf87fe8f129c4cc1d53ca91eb5,genre scanme,true,color: #be8401; top: 8841px; left: 832px; font-size: 118%,button,0,kb(event);,"playx(""0tFcqjM147Q2ZuDF75zDhH"", ""sertanejo universitario"", this);","e.g. JoÃ£o Bosco & Vinicius ""Fim da Noite - Ao Vivo""",sertanejo universitario,#be8401,8841.0,832.0,118.0
item41,https://p.scdn.co/mp3-preview/902dacc92715211e588270b1f4e62fd3681e218e,genre scanme,true,color: #d75e20; top: 5839px; left: 335px; font-size: 118%,button,0,kb(event);,"playx(""0INUE1K7cEiE8VH63Rv5RJ"", ""nu metal"", this);","e.g. Mudvayne ""Happy?""",nu metal,#d75e20,5839.0,335.0,118.0
item42,https://p.scdn.co/mp3-preview/327c020067dc3208aed124191674a27741179c52,genre scanme,true,color: #7b8d08; top: 12934px; left: 729px; font-size: 118%,button,0,kb(event);,"playx(""0NLBwQBYJhEM9t3KAMPFVR"", ""country"", this);","e.g. John Michael Montgomery ""Sold (The Grundy County Auction Incident)""",country,#7b8d08,12934.0,729.0,118.0
item43,https://p.scdn.co/mp3-preview/559376c76e6833bf834b2cd49190be0c1531a456,genre scanme,true,color: #8c8b3b; top: 9611px; left: 599px; font-size: 117%,button,0,kb(event);,"playx(""0sMgwHapnEjJ7ixPHuvE8m"", ""art pop"", this);","e.g. Julia Holter ""Sun Girl""",art pop,#8c8b3b,9611.0,599.0,117.0
item44,https://p.scdn.co/mp3-preview/be360a507094a10639c1da4d1e8da31514d744dc,genre scanme,true,color: #a28e04; top: 4354px; left: 1062px; font-size: 117%,button,0,kb(event);,"playx(""0r2Bul2NuCViraT2zX1l5j"", ""atl hip hop"", this);","e.g. Lil Jon & The East Side Boyz ""Get Low""",atl hip hop,#a28e04,4354.0,1062.0,117.0
item45,https://p.scdn.co/mp3-preview/6ff0fdd232b5d0434f1e30f1a86c47a3890c83aa,genre scanme,true,color: #9e8707; top: 5618px; left: 937px; font-size: 117%,button,0,kb(event);,"playx(""5Mmk2ii6laakqfeCT7OnVD"", ""urban contemporary"", this);","e.g. Sisqo ""Thong Song""",urban contemporary,#9e8707,5618.0,937.0,117.0
item46,https://p.scdn.co/mp3-preview/d7a71a211a5adbb009cb3d11c22c26d7b35e692c,genre scanme,true,color: #b38800; top: 9856px; left: 808px; font-size: 117%,button,0,kb(event);,"playx(""1mxb4yfN6fSwWFYhkMHTMg"", ""sertanejo"", this);","e.g. Rionegro & SolimÃµes ""Chorando e DanÃ§ando""",sertanejo,#b38800,9856.0,808.0,117.0
item47,https://p.scdn.co/mp3-preview/2eb13d7dbfa77401e19d5950eac8cd3c02b76ffe,genre scanme,true,color: #a88a02; top: 5426px; left: 1055px; font-size: 116%,button,0,kb(event);,"playx(""6o2g1BJvtYQssH84kBYs7y"", ""southern hip hop"", this);","e.g. JUVENILE ""Back That Azz Up""",southern hip hop,#a88a02,5426.0,1055.0,116.0
item48,https://p.scdn.co/mp3-preview/6a17ed2e1ee8d45a933c4a86dd268ba8f12299a4,genre scanme,true,color: #7b8813; top: 14451px; left: 670px; font-size: 116%,button,0,kb(event);,"playx(""0qxYx4F3vm1AOnfux6dDxP"", ""singer-songwriter"", this);","e.g. Paul Simon ""You Can Call Me Al""",singer-songwriter,#7b8813,14451.0,670.0,116.0
item49,https://p.scdn.co/mp3-preview/c68c8081615f6d3ddca71be0871ae32c29cb074b,genre scanme,true,color: #b99201; top: 3653px; left: 1159px; font-size: 116%,button,0,kb(event);,"playx(""4iFTIshL0xDCw8JJUl5AJ3"", ""reggaeton colombiano"", this);","e.g. Andy Rivera ""Alguien Me Gusta""",reggaeton colombiano,#b99201,3653.0,1159.0,116.0
item50,https://p.scdn.co/mp3-preview/125d70024c88bb1bf45666f6396dc21a181c416e,genre scanme,true,color: #bb8d00; top: 8462px; left: 961px; font-size: 116%,button,0,kb(event);,"playx(""3PH1nUysW7ybo3Yu8sqlPN"", ""arrocha"", this);","e.g. Israel & Rodolffo ""Seu Brilho Sumiu - Ao Vivo""",arrocha,#bb8d00,8462.0,961.0,116.0
item51,https://p.scdn.co/mp3-preview/58d86b35819bf30c3cd3779b590511b3f672edd2,genre scanme,true,color: #ae8805; top: 10918px; left: 1073px; font-size: 116%,button,0,kb(event);,"playx(""2BvjmY4Mp5q1AHL0laetd6"", ""french hip hop"", this);","e.g. Heuss L'enfoirÃ© ""Saiyan""",french hip hop,#ae8805,10918.0,1073.0,116.0
item52,https://p.scdn.co/mp3-preview/421b190bc8aceef3ab60ae23839d3fb0d3d58366,genre scanme,true,color: #b48d01; top: 4479px; left: 1009px; font-size: 115%,button,0,kb(event);,"playx(""2in1gSZtv2lRbcZUmN9aAl"", ""colombian pop"", this);","e.g. Fonseca ""Te Mando Flores""",colombian pop,#b48d01,4479.0,1009.0,115.0
item53,https://p.scdn.co/mp3-preview/dd93e63fb8dc92be561a59c12da03a281629cfef,genre scanme,true,color: #899503; top: 8689px; left: 834px; font-size: 115%,button,0,kb(event);,"playx(""2M92oXk1TaeT6diExjKtVw"", ""alt z"", this);","e.g. FLETCHER ""Bitter""",alt z,#899503,8689.0,834.0,115.0
item54,https://p.scdn.co/mp3-preview/63867b119633ebf0164c0790a426c8bb3a6a006d,genre scanme,true,color: #9e8902; top: 7385px; left: 563px; font-size: 115%,button,0,kb(event);,"playx(""3Qbjo8ezZdQg1NfPcCo4UV"", ""country road"", this);","e.g. Randy Houser ""Note to Self""",country road,#9e8902,7385.0,563.0,115.0
item55,https://p.scdn.co/mp3-preview/414dd8f21e6f6d66345182fadc84ecb2f75d63db,genre scanme,true,color: #b18804; top: 5348px; left: 797px; font-size: 115%,button,0,kb(event);,"playx(""66EqOhWfTcdVphw00lcxZO"", ""mexican pop"", this);","e.g. OV7 ""Shabadabada""",mexican pop,#b18804,5348.0,797.0,115.0
item56,https://p.scdn.co/mp3-preview/cbf610556381f840a007e22c3464c49101f0e41c,genre scanme,true,color: #9c8f06; top: 8790px; left: 1026px; font-size: 115%,button,0,kb(event);,"playx(""5y4h7197GyNQDn9yMaUbCH"", ""canadian hip hop"", this);","e.g. Puffy L'z ""Have It""",canadian hip hop,#9c8f06,8790.0,1026.0,115.0
item57,https://p.scdn.co/mp3-preview/32272361f0a4765efd6f50ee68873065bd447998,genre scanme,true,color: #bb7b15; top: 5268px; left: 519px; font-size: 115%,button,0,kb(event);,"playx(""5RbMlPFL4gVyEHW2lEOuzG"", ""j-pop"", this);","e.g. Sukima Switch ""å¥(ããªã§)""",j-pop,#bb7b15,5268.0,519.0,115.0
item58,https://p.scdn.co/mp3-preview/1ea7ef6bda7fc8f4510440e442102bb912695aad,genre scanme,true,color: #8f9109; top: 9650px; left: 568px; font-size: 115%,button,0,kb(event);,"playx(""2GUp5FWzjfs422g45y16HQ"", ""indonesian pop"", this);","e.g. Jaz ""Bersamamu""",indonesian pop,#8f9109,9650.0,568.0,115.0
item59,https://p.scdn.co/mp3-preview/c36c954550003bcc96a355cbd2edfdd3069ad08f,genre scanme,true,color: #899603; top: 9101px; left: 813px; font-size: 115%,button,0,kb(event);,"playx(""05QUYSOApWLr8oBbpONl7p"", ""singer-songwriter pop"", this);","e.g. elijah woods ""24/7, 365""",singer-songwriter pop,#899603,9101.0,813.0,115.0
item60,https://p.scdn.co/mp3-preview/c854bfb4703a1edc834234811c4d89119b6ae116,genre scanme,true,color: #769507; top: 14637px; left: 834px; font-size: 115%,button,0,kb(event);,"playx(""1kEWmwBPNkG1LtMb1H0xtZ"", ""ranchera"", this);","e.g. Lucha Villa ""No Discutamos""",ranchera,#769507,14637.0,834.0,115.0
item61,https://p.scdn.co/mp3-preview/14bab659cdd73644ed4dbe48409c370fd1b587a9,genre scanme,true,color: #ab7d14; top: 5552px; left: 705px; font-size: 115%,button,0,kb(event);,"playx(""3EvpaRZkKWxsgDIO2zMH7g"", ""new wave pop"", this);","e.g. Belinda Carlisle ""Heaven Is A Place On Earth - Promo 7"" Edit""",new wave pop,#ab7d14,5552.0,705.0,115.0
item62,https://p.scdn.co/mp3-preview/5f13f4fe96ec9766dfcf0ea5b977190245502a4b,genre scanme,true,color: #a78747; top: 5143px; left: 677px; font-size: 115%,button,0,kb(event);,"playx(""6xWIuPEnPIODp4dCRsAd5I"", ""indietronica"", this);","e.g. Phantogram ""Black Out Days""",indietronica,#a78747,5143.0,677.0,115.0
item63,https://p.scdn.co/mp3-preview/fde79b7f740702c6e292119e6ece55764b247d5d,genre scanme,true,color: #a68e12; top: 9579px; left: 1070px; font-size: 115%,button,0,kb(event);,"playx(""2knDuFWczh1Wv92eBAdPTa"", ""german hip hop"", this);","e.g. Jamule ""Liege wieder wach""",german hip hop,#a68e12,9579.0,1070.0,115.0
item64,https://p.scdn.co/mp3-preview/d1f8288c1c6a5b26d3cbcb31c1718837757d88e1,genre scanme,true,color: #ab9003; top: 9076px; left: 1092px; font-size: 115%,button,0,kb(event);,"playx(""3ejjmzEsUfObGdmmQRVmM2"", ""pop urbaine"", this);","e.g. Niro ""Qui sait ? (feat. ElGrandeToto)""",pop urbaine,#ab9003,9076.0,1092.0,115.0
item65,https://p.scdn.co/mp3-preview/1687c34f87c13a2c8f76e7608e065218527fa295,genre scanme,true,color: #b6800d; top: 5172px; left: 739px; font-size: 115%,button,0,kb(event);,"playx(""5EfHXTq8UPCFyPDvCNIKMm"", ""rock en espanol"", this);","e.g. Maldita Vecindad Y Los Hijos Del 5to. Patio ""Kumbala""",rock en espanol,#b6800d,5172.0,739.0,115.0
item66,https://p.scdn.co/mp3-preview/0c11ad00229b2e9a03c0c9b1bfbdbfd34ac4f0c4,genre scanme,true,color: #b18212; top: 5892px; left: 765px; font-size: 115%,button,0,kb(event);,"playx(""5yMXpZhVnUAFT154F3MQ8G"", ""latin alternative"", this);","e.g. Aterciopelados ""Bolero Falaz""",latin alternative,#b18212,5892.0,765.0,115.0
item67,https://p.scdn.co/mp3-preview/b97f4269cab242c0dd5721c5ba1a515f538fcb59,genre scanme,true,color: #b07d04; top: 6148px; left: 1103px; font-size: 114%,button,0,kb(event);,"playx(""6wvfISRCQBOEpIvhX6UsDj"", ""gangster rap"", this);","e.g. Scarface ""Smile""",gangster rap,#b07d04,6148.0,1103.0,114.0
item68,https://p.scdn.co/mp3-preview/b7d1edc8d69475f33a6025d4746bb02b04df4adc,genre scanme,true,color: #698716; top: 16511px; left: 832px; font-size: 114%,button,0,kb(event);,"playx(""2cK7SJ2O3CqDRHeixvFKgh"", ""soul"", this);","e.g. Curtis Mayfield ""Move On Up""",soul,#698716,16511.0,832.0,114.0
item69,https://p.scdn.co/mp3-preview/8142182f260301c7bd47fd24003558307e114e80,genre scanme,true,color: #c77c11; top: 4033px; left: 741px; font-size: 114%,button,0,kb(event);,"playx(""3lfMz3l3YxerPX9RTPShfR"", ""k-pop boy group"", this);","e.g. NOIR ""Airplane mode""",k-pop boy group,#c77c11,4033.0,741.0,114.0
item70,https://p.scdn.co/mp3-preview/ea659448ef6ed8bccfcb444246e1057ddfc41a9c,genre scanme,true,color: #af8803; top: 6358px; left: 686px; font-size: 114%,button,0,kb(event);,"playx(""30TZy1etY3FAGBDGS58hRj"", ""latin arena pop"", this);","e.g. RÃ­o Roma ""TÃº Me Gustas""",latin arena pop,#af8803,6358.0,686.0,114.0
item71,https://p.scdn.co/mp3-preview/5e37e03c759ee2aecb93090018eb90aa9e2efb3d,genre scanme,true,color: #a58d08; top: 6791px; left: 1011px; font-size: 114%,button,0,kb(event);,"playx(""3I7TyZyuculDUCCe57K41z"", ""chicago rap"", this);","e.g. Edai ""War""",chicago rap,#a58d08,6791.0,1011.0,114.0
item72,https://p.scdn.co/mp3-preview/28765fd9281f1c6ae3b1163a53f8c4564eb8fff2,genre scanme,true,color: #a28b06; top: 9338px; left: 751px; font-size: 114%,button,0,kb(event);,"playx(""20bTkdvyWZjO4ORHmzXQR4"", ""italian pop"", this);","e.g. Takagi & Ketra ""EVERYDAY (feat. Shiva, ANNA, Geolier)""",italian pop,#a28b06,9338.0,751.0,114.0
item73,https://p.scdn.co/mp3-preview/b03b592db51b8b06e0b04b538630912849195a14,genre scanme,true,color: #a17a10; top: 11956px; left: 540px; font-size: 114%,button,0,kb(event);,"playx(""43btz2xjMKpcmjkuRsvxyg"", ""heartland rock"", this);","e.g. John Mellencamp ""Jack & Diane""",heartland rock,#a17a10,11956.0,540.0,114.0
item74,https://p.scdn.co/mp3-preview/f31c5d3f900f3ce6a17768be01511f3bb6f88ce4,genre scanme,true,color: #c98216; top: 3066px; left: 895px; font-size: 114%,button,0,kb(event);,"playx(""4IcTZ4u56lvregznRG6tH1"", ""k-pop girl group"", this);","e.g. FAVORITE ""Loca""",k-pop girl group,#c98216,3066.0,895.0,114.0
item75,https://p.scdn.co/mp3-preview/ecec95d36df4a884d48cf9a9bf3435105c36dde1,genre scanme,true,color: #c78400; top: 8501px; left: 847px; font-size: 113%,button,0,kb(event);,"playx(""1wLLfgiwkQgevlyOyOFo17"", ""agronejo"", this);","e.g. LÃ©o & Raphael ""Yellowstone - Ao Vivo""",agronejo,#c78400,8501.0,847.0,113.0
item76,https://p.scdn.co/mp3-preview/edec90019e2f14e4d9725ca680c572780061c930,genre scanme,true,color: #999000; top: 8297px; left: 533px; font-size: 113%,button,0,kb(event);,"playx(""0MIp9iBm1V41ERxkZnmSUG"", ""modern country pop"", this);","e.g. Warren Zeiders ""Pretty Little Poison""",modern country pop,#999000,8297.0,533.0,113.0
